"","date","R","t_end","lower","upper"
"146",2021-01-09,1.39234481583082,161,1.25232834914268,1.54520973067124
"147",2021-01-10,1.38135948155958,162,1.24671228694383,1.53776326423002
"148",2021-01-11,1.35757436034242,163,1.22335027954127,1.51221072773819
"149",2021-01-12,1.32477183154752,164,1.19124801973303,1.47154677720703
"150",2021-01-13,1.28083774350807,165,1.15614937617677,1.42353332478279
"151",2021-01-14,1.23109020021335,166,1.10783002210047,1.36223649590107
"152",2021-01-15,1.17145610054721,167,1.0539168529181,1.29490542489122
"153",2021-01-16,1.09929184615572,168,0.992564818877194,1.21175210643687
"154",2021-01-17,1.02545415864909,169,0.924459223576225,1.1288066267718
"155",2021-01-18,0.955791871218878,170,0.861854227966473,1.05361749446301
"156",2021-01-19,0.896417889417641,171,0.809998900431268,0.989895776626187
"157",2021-01-20,0.844002606446209,172,0.761300415590272,0.933281905770532
"158",2021-01-21,0.798406602072771,173,0.719988159977126,0.886498980619042
"159",2021-01-22,0.760457332152589,174,0.685031616035833,0.841437612775248
"160",2021-01-23,0.724199581805486,175,0.652447059621397,0.799196943335283
"161",2021-01-24,0.688889657198754,176,0.619508346681625,0.76011386424239
"162",2021-01-25,0.657048604415995,177,0.59336297365091,0.726196174421538
"163",2021-01-26,0.633207522579584,178,0.571026700271452,0.6979537532137
"164",2021-01-27,0.613421527810953,179,0.553606830261781,0.677748272680955
"165",2021-01-28,0.598446163090358,180,0.537925940830075,0.660551873178731
"166",2021-01-29,0.585658424727527,181,0.52768341703766,0.646909114236248
"167",2021-01-30,0.577381307507125,182,0.519037909799273,0.638726745892682
"168",2021-01-31,0.572225330104751,183,0.51707647087543,0.633673580014766
"169",2021-02-01,0.56900291232672,184,0.512721167770655,0.631573852986674
"170",2021-02-02,0.570213540954474,185,0.516587756353217,0.634350885506364
"171",2021-02-03,0.574257725059665,186,0.520633205230382,0.638718768137598
"172",2021-02-04,0.579576396674073,187,0.527156613738744,0.64456794781505
"173",2021-02-05,0.586276551601584,188,0.529448041157107,0.654160274113869
"174",2021-02-06,0.593294787213256,189,0.536410531474767,0.66082076756643
"175",2021-02-07,0.600126967888263,190,0.543779088677967,0.667304296205013
"176",2021-02-08,0.607661542834257,191,0.549643783241554,0.674373318866531
"177",2021-02-09,0.616676640102296,192,0.555058420635155,0.683977090170262
"178",2021-02-10,0.626272061251926,193,0.565235405483413,0.695954311855096
"179",2021-02-11,0.636983984369511,194,0.573956788585256,0.706166486417321
"180",2021-02-12,0.645585451566199,195,0.583701256459178,0.717281863224992
"181",2021-02-13,0.65500285137543,196,0.589091876085459,0.726261608960998
"182",2021-02-14,0.661875617472759,197,0.597353393962837,0.736448756237002
"183",2021-02-15,0.66924998755055,198,0.603657558887463,0.743707297773409
"184",2021-02-16,0.675965032659754,199,0.610483604201312,0.751424346047031
"185",2021-02-17,0.681166853205536,200,0.614542908994726,0.757991208425019
"186",2021-02-18,0.688237335428951,201,0.619319242366759,0.767391709227375
"187",2021-02-19,0.693804762510397,202,0.625670487211168,0.770739036564224
"188",2021-02-20,0.696241413030524,203,0.629352387146383,0.77199223926055
"189",2021-02-21,0.698446719561621,204,0.629813576832887,0.771752982249843
"190",2021-02-22,0.703683251391643,205,0.636327500721896,0.777892508793419
"191",2021-02-23,0.712018575547043,206,0.643254555015963,0.787314003414769
"192",2021-02-24,0.71997153478104,207,0.65088004666787,0.794315254918794
"193",2021-02-25,0.726310410068253,208,0.656508486003173,0.803765919947432
"194",2021-02-26,0.729344045563459,209,0.662178024392034,0.809256171928349
"195",2021-02-27,0.733969792149212,210,0.664860775850941,0.813238748309429
"196",2021-02-28,0.736824899698655,211,0.666866449422392,0.818062506341513
"197",2021-03-01,0.741728229580727,212,0.669238449779264,0.82116170257607
"198",2021-03-02,0.74977385856117,213,0.677161004200582,0.831656537887449
"199",2021-03-03,0.75892228549323,214,0.681570542579466,0.837618028721564
"200",2021-03-04,0.768787166958085,215,0.692153327791372,0.850570286422303
"201",2021-03-05,0.779233180076093,216,0.699804486684138,0.863022291078333
"202",2021-03-06,0.790623327533442,217,0.710484650663118,0.878500368112342
